,CH1,CH2
Second,Volt,Volt
-8.39257e-03,2.98e-01,1.74e+01, 
-8.24606e-03,2.98e-01,1.74e+01, 
-8.09962e-03,2.98e-01,1.74e+01, 
-7.95311e-03,2.98e-01,1.76e+01, 
-7.80666e-03,2.98e-01,1.76e+01, 
-7.66015e-03,2.98e-01,1.76e+01, 
-7.51364e-03,2.98e-01,1.76e+01, 
-7.36719e-03,2.98e-01,1.76e+01, 
-7.22069e-03,2.98e-01,1.78e+01, 
-7.07424e-03,2.98e-01,1.78e+01, 
-6.92773e-03,2.98e-01,1.80e+01, 
-6.78122e-03,2.98e-01,1.80e+01, 
-6.63477e-03,2.98e-01,1.80e+01, 
-6.48826e-03,2.98e-01,1.82e+01, 
-6.34181e-03,2.98e-01,1.82e+01, 
-6.19531e-03,2.98e-01,1.82e+01, 
-6.04880e-03,2.98e-01,1.82e+01, 
-5.90235e-03,2.98e-01,1.82e+01, 
-5.75584e-03,2.98e-01,1.84e+01, 
-5.60939e-03,2.98e-01,1.86e+01, 
-5.46288e-03,2.97e-01,1.86e+01, 
-5.31638e-03,2.98e-01,1.88e+01, 
-5.16993e-03,2.98e-01,1.88e+01, 
-5.02342e-03,2.98e-01,1.88e+01, 
-4.87697e-03,2.98e-01,1.90e+01, 
-4.73046e-03,2.98e-01,1.90e+01, 
-4.58395e-03,2.98e-01,1.90e+01, 
-4.43751e-03,2.98e-01,1.90e+01, 
-4.29100e-03,2.98e-01,1.90e+01, 
-4.14455e-03,2.98e-01,1.92e+01, 
-3.99804e-03,2.98e-01,1.92e+01, 
-3.85153e-03,2.98e-01,1.92e+01, 
-3.70508e-03,2.97e-01,1.94e+01, 
-3.55858e-03,2.98e-01,1.96e+01, 
-3.41213e-03,2.98e-01,1.96e+01, 
-3.26562e-03,2.98e-01,1.96e+01, 
-3.11911e-03,2.97e-01,1.98e+01, 
-2.97266e-03,2.98e-01,1.98e+01, 
-2.82615e-03,2.98e-01,1.98e+01, 
-2.67971e-03,2.98e-01,1.98e+01, 
-2.53320e-03,2.97e-01,1.98e+01, 
-2.38669e-03,2.97e-01,1.98e+01, 
-2.24024e-03,2.98e-01,1.98e+01, 
-2.09373e-03,2.98e-01,1.98e+01, 
-1.94728e-03,2.98e-01,1.98e+01, 
-1.80078e-03,2.97e-01,1.98e+01, 
-1.65427e-03,2.98e-01,2.00e+01, 
-1.50782e-03,2.97e-01,1.98e+01, 
-1.36131e-03,2.97e-01,1.98e+01, 
-1.21486e-03,2.98e-01,2.00e+01, 
-1.06835e-03,2.97e-01,1.98e+01, 
-9.21845e-04,2.97e-01,1.98e+01, 
-7.75397e-04,2.97e-01,1.98e+01, 
-6.28889e-04,2.98e-01,1.98e+01, 
