,CH1,CH3,CH4
Second,Volt,Volt,Volt
-1.65588e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.65441e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.65295e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.65148e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.65002e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.64855e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.64709e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.64563e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.64416e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.64270e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.64123e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.63977e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.63830e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.63684e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.63537e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.63391e-01,2.59e-01,-1.20e+00,3.07e-01, 
-1.63244e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.63098e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.62951e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.62805e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.62658e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.62512e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.62365e-01,2.60e-01,-1.20e+00,3.07e-01, 
-1.62219e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.62072e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.61926e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.61779e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.61633e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.61486e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.61340e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.61193e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.61047e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.60900e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.60754e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.60607e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.60461e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.60315e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.60168e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.60021e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.59875e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.59729e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.59582e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.59436e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.59289e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.59143e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.58996e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.58850e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.58703e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.58557e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.58410e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.58264e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.58117e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.57971e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.57824e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.57678e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.57531e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.57385e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.57238e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.57092e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.56945e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.56799e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.56652e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.56506e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.56359e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.56213e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.56066e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.55920e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.55773e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.55627e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.55481e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.55334e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.55188e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.55041e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.54895e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.54748e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.54602e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.54455e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.54309e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.54162e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.54016e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.53869e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.53723e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.53576e-01,2.60e-01,-1.20e+00,3.03e-01, 
-1.53430e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.53283e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.53137e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.52990e-01,2.60e-01,-1.20e+00,3.04e-01, 
