Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,9000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
791,     79.20,194
792,     79.30,212
793,     79.40,206
794,     79.50,194
795,     79.60,194
796,     79.70,202
797,     79.80,178
798,     79.90,200
799,     80.00,205
800,     80.10,200
801,     80.20,193
802,     80.30,215
803,     80.40,209
804,     80.50,215
805,     80.60,203
806,     80.70,206
807,     80.80,208
808,     80.90,210
809,     81.00,199
810,     81.10,215
811,     81.20,194
812,     81.30,203
813,     81.40,195
814,     81.50,198
815,     81.60,209
816,     81.70,200
817,     81.80,197
818,     81.90,211
819,     82.00,223
820,     82.10,193
821,     82.20,216
822,     82.30,203
823,     82.40,203
824,     82.50,196
825,     82.60,197
826,     82.70,199
827,     82.80,206
828,     82.90,214
829,     83.00,218
830,     83.10,204
831,     83.20,201
832,     83.30,228
833,     83.40,214
834,     83.50,205
835,     83.60,201
836,     83.70,222
837,     83.80,195
838,     83.90,206
839,     84.00,220
840,     84.10,214
841,     84.20,224
842,     84.30,181
843,     84.40,209
844,     84.50,201
845,     84.60,199
846,     84.70,216
847,     84.80,218
848,     84.90,219
849,     85.00,220
850,     85.10,210
851,     85.20,218
852,     85.30,205
853,     85.40,195
854,     85.50,215
855,     85.60,196
856,     85.70,219
857,     85.80,233
858,     85.90,203
859,     86.00,216
860,     86.10,211
861,     86.20,195
862,     86.30,210
863,     86.40,226
864,     86.50,197
865,     86.60,212
866,     86.70,224
867,     86.80,229
868,     86.90,188
869,     87.00,196
870,     87.10,210
871,     87.20,207
872,     87.30,209
873,     87.40,207
874,     87.50,215
875,     87.60,208
876,     87.70,210
877,     87.80,187
878,     87.90,210
879,     88.00,199
880,     88.10,232
881,     88.20,223
882,     88.30,210
883,     88.40,213
884,     88.50,238
885,     88.60,206
886,     88.70,240
887,     88.80,234
888,     88.90,193
889,     89.00,211
890,     89.10,185
891,     89.20,205
892,     89.30,219
893,     89.40,210
894,     89.50,215
895,     89.60,210
896,     89.70,226
897,     89.80,240
898,     89.90,213
899,     90.00,210
900,     90.10,203
901,     90.20,215
902,     90.30,234
903,     90.40,183
904,     90.50,198
905,     90.60,188
906,     90.70,215
907,     90.80,224
908,     90.90,220
909,     91.00,237
910,     91.10,200
911,     91.20,203
912,     91.30,242
913,     91.40,206
914,     91.50,213
915,     91.60,212
916,     91.70,203
917,     91.80,196
918,     91.90,201
919,     92.00,206
920,     92.10,197
921,     92.20,197
922,     92.30,239
923,     92.40,201
924,     92.50,212
925,     92.60,221
926,     92.70,228
927,     92.80,199
928,     92.90,216
929,     93.00,218
930,     93.10,205
931,     93.20,230
932,     93.30,228
