,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
3.51820e-01,8.00e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51840e-01,8.00e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.51860e-01,8.00e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.51880e-01,7.20e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51900e-01,8.00e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.51920e-01,6.40e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51940e-01,8.00e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.51960e-01,7.20e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.51980e-01,7.20e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52000e-01,7.20e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52020e-01,7.20e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52040e-01,6.40e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52060e-01,6.40e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52080e-01,7.20e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52100e-01,6.40e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52120e-01,7.20e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52140e-01,5.60e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52160e-01,6.40e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52180e-01,5.60e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52200e-01,5.60e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52220e-01,5.60e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52240e-01,7.20e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52260e-01,6.40e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52280e-01,5.60e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52300e-01,5.60e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.52320e-01,5.60e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52340e-01,5.60e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52360e-01,4.80e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52380e-01,5.60e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52400e-01,4.00e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52420e-01,4.80e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52440e-01,4.00e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52460e-01,4.00e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52480e-01,4.00e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52500e-01,4.00e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52520e-01,3.20e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52540e-01,3.20e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52560e-01,3.20e-03,2.14e-01,3.15e-01,-2.64e+00, 
3.52580e-01,3.20e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52600e-01,4.00e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52620e-01,3.20e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52640e-01,3.20e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52660e-01,3.20e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52680e-01,2.40e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52700e-01,2.40e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52720e-01,2.40e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52740e-01,1.60e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52760e-01,1.60e-03,2.14e-01,3.14e-01,-2.64e+00, 
3.52780e-01,8.00e-04,2.14e-01,3.14e-01,-2.64e+00, 
