,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.78400e-01,2.80e-02,3.51e-01,3.26e-01,3.72e+00, 
-1.78000e-01,2.56e-02,3.50e-01,3.26e-01,3.80e+00, 
-1.77600e-01,2.48e-02,3.51e-01,3.26e-01,3.72e+00, 
-1.77200e-01,2.16e-02,3.50e-01,3.26e-01,3.68e+00, 
-1.76800e-01,2.16e-02,3.51e-01,3.26e-01,3.72e+00, 
-1.76400e-01,1.92e-02,3.50e-01,3.26e-01,3.68e+00, 
-1.76000e-01,1.92e-02,3.50e-01,3.26e-01,3.68e+00, 
-1.75600e-01,1.60e-02,3.50e-01,3.25e-01,3.68e+00, 
-1.75200e-01,1.60e-02,3.50e-01,3.26e-01,3.68e+00, 
-1.74800e-01,1.28e-02,3.50e-01,3.25e-01,3.64e+00, 
-1.74400e-01,1.28e-02,3.50e-01,3.26e-01,3.64e+00, 
-1.74000e-01,9.60e-03,3.50e-01,3.25e-01,3.68e+00, 
-1.73600e-01,9.60e-03,3.50e-01,3.25e-01,3.64e+00, 
-1.73200e-01,6.40e-03,3.50e-01,3.25e-01,3.60e+00, 
-1.72800e-01,6.40e-03,3.50e-01,3.25e-01,3.64e+00, 
-1.72400e-01,2.40e-03,3.50e-01,3.25e-01,3.60e+00, 
-1.72000e-01,2.40e-03,3.50e-01,3.25e-01,3.60e+00, 
-1.71600e-01,-8.00e-04,3.49e-01,3.25e-01,3.56e+00, 
-1.71200e-01,-8.00e-04,3.50e-01,3.25e-01,3.56e+00, 
-1.70800e-01,-3.20e-03,3.49e-01,3.25e-01,3.52e+00, 
-1.70400e-01,-3.20e-03,3.49e-01,3.25e-01,3.56e+00, 
-1.70000e-01,-6.40e-03,3.49e-01,3.25e-01,3.52e+00, 
-1.69600e-01,-6.40e-03,3.49e-01,3.25e-01,3.56e+00, 
-1.69200e-01,-9.60e-03,3.49e-01,3.24e-01,3.52e+00, 
-1.68800e-01,-9.60e-03,3.49e-01,3.25e-01,3.52e+00, 
-1.68400e-01,-1.28e-02,3.49e-01,3.24e-01,3.52e+00, 
-1.68000e-01,-1.28e-02,3.49e-01,3.24e-01,3.52e+00, 
-1.67600e-01,-1.52e-02,3.49e-01,3.25e-01,3.48e+00, 
-1.67200e-01,-1.52e-02,3.49e-01,3.24e-01,3.52e+00, 
-1.66800e-01,-1.84e-02,3.49e-01,3.24e-01,3.48e+00, 
-1.66400e-01,-1.84e-02,3.49e-01,3.24e-01,3.48e+00, 
-1.66000e-01,-2.16e-02,3.49e-01,3.24e-01,3.44e+00, 
-1.65600e-01,-2.08e-02,3.49e-01,3.24e-01,3.44e+00, 
-1.65200e-01,-2.24e-02,3.49e-01,3.24e-01,3.40e+00, 
-1.64800e-01,-2.32e-02,3.49e-01,3.24e-01,3.44e+00, 
-1.64400e-01,-2.64e-02,3.49e-01,3.24e-01,3.40e+00, 
-1.64000e-01,-2.64e-02,3.49e-01,3.24e-01,3.40e+00, 
-1.63600e-01,-2.88e-02,3.49e-01,3.24e-01,3.40e+00, 
-1.63200e-01,-2.88e-02,3.49e-01,3.24e-01,3.40e+00, 
-1.62800e-01,-2.96e-02,3.49e-01,3.23e-01,3.36e+00, 
-1.62400e-01,-2.96e-02,3.49e-01,3.24e-01,3.40e+00, 
-1.62000e-01,-3.28e-02,3.48e-01,3.23e-01,3.36e+00, 
-1.61600e-01,-3.28e-02,3.49e-01,3.23e-01,3.36e+00, 
